alpha,ngram_range,max_features,rmse,mae,r2,rmse_train,mae_train,r2_train,params
10.0,"(1, 1)",,0.12182638097492217,0.0946359654957678,0.463296760015657,0.12055695651917764,0.092921760945936,0.4801703469047809,"alpha=10.0 | ngram_range=(1, 1) | max_features=nan"
10.0,"(1, 1)",1000.0,0.12293874505062477,0.09578954346031245,0.4534510276676408,0.12184877848694216,0.09407383938342047,0.468970242927213,"alpha=10.0 | ngram_range=(1, 1) | max_features=1000.0"
10.0,"(1, 2)",1000.0,0.12311816596768888,0.09567840101150506,0.45185455984117295,0.12210274258841797,0.09422385243972599,0.4667543316837782,"alpha=10.0 | ngram_range=(1, 2) | max_features=1000.0"
10.0,"(2, 2)",1000.0,0.12322907821005466,0.09547228820964486,0.45086651029063585,0.12170301694710685,0.09384160562510685,0.4702399711751659,"alpha=10.0 | ngram_range=(2, 2) | max_features=1000.0"
10.0,"(1, 3)",1000.0,0.12324451695179915,0.09581482659723038,0.4507289054114578,0.12226737841705075,0.09435913239073937,0.4653153709064981,"alpha=10.0 | ngram_range=(1, 3) | max_features=1000.0"
10.0,"(1, 1)",500.0,0.12406964843490614,0.09674535461120376,0.443349460736985,0.12339642666522474,0.09538509101611362,0.45539494828308935,"alpha=10.0 | ngram_range=(1, 1) | max_features=500.0"
10.0,"(1, 2)",500.0,0.1243665689877746,0.09675678883736477,0.44068194678435946,0.12352861877135816,0.09554041790545825,0.45422747442998856,"alpha=10.0 | ngram_range=(1, 2) | max_features=500.0"
10.0,"(1, 3)",500.0,0.12449381696967304,0.09689230412434569,0.43953680778727744,0.12371645654253044,0.09571281943005572,0.45256640771852885,"alpha=10.0 | ngram_range=(1, 3) | max_features=500.0"
10.0,"(2, 2)",500.0,0.12468752253044106,0.09681559254233503,0.4377913508633565,0.1233691851640745,0.09529676476975676,0.45563538022963956,"alpha=10.0 | ngram_range=(2, 2) | max_features=500.0"
100.0,"(1, 1)",,0.1327252557753019,0.10451288563507992,0.36297177847777795,0.13361774976248397,0.10495415018857902,0.3614354489459133,"alpha=100.0 | ngram_range=(1, 1) | max_features=nan"
100.0,"(1, 1)",1000.0,0.13296616801809433,0.10481470950104245,0.36065711458079397,0.13386491198231254,0.10514411359869846,0.35907086780313535,"alpha=100.0 | ngram_range=(1, 1) | max_features=1000.0"
100.0,"(1, 2)",,0.13297130741561677,0.10464311585607537,0.3606076899671158,0.1338231866312649,0.10519055213666781,0.35947035747941125,"alpha=100.0 | ngram_range=(1, 2) | max_features=nan"
100.0,"(1, 2)",1000.0,0.133009961486246,0.10476488547857807,0.3602358998678791,0.1338710986235952,0.10510011669565757,0.3590116246422994,"alpha=100.0 | ngram_range=(1, 2) | max_features=1000.0"
100.0,"(1, 3)",1000.0,0.13308743078539104,0.10483638701247153,0.35949044427675214,0.1340021834689768,0.10518129003190818,0.35775571503256187,"alpha=100.0 | ngram_range=(1, 3) | max_features=1000.0"
100.0,"(1, 1)",500.0,0.13314297256677216,0.10499043736576458,0.35895572112781804,0.13411652469937402,0.1053385099932523,0.35665922048114185,"alpha=100.0 | ngram_range=(1, 1) | max_features=500.0"
100.0,"(1, 2)",500.0,0.1332303512251813,0.10503759684106043,0.35811403991549384,0.13414073590489858,0.10530864873057101,0.3564269230548035,"alpha=100.0 | ngram_range=(1, 2) | max_features=500.0"
100.0,"(1, 3)",500.0,0.13329583475868997,0.10511798767301714,0.35748290308941566,0.13426471098598167,0.10540006621327233,0.35523677162018086,"alpha=100.0 | ngram_range=(1, 3) | max_features=500.0"
100.0,"(2, 2)",1000.0,0.1333381751426047,0.10496284171776803,0.35707465715674414,0.13417498564135952,0.10549043408826247,0.3560982380790694,"alpha=100.0 | ngram_range=(2, 2) | max_features=1000.0"
100.0,"(1, 3)",,0.13335604132047527,0.1049730053932773,0.3569023525924304,0.134222317347702,0.10560192250963764,0.35564387105221296,"alpha=100.0 | ngram_range=(1, 3) | max_features=nan"
100.0,"(2, 2)",,0.1337981572259232,0.10537178975407431,0.3526311548919462,0.1346415723907538,0.1060149254895852,0.3516121797551467,"alpha=100.0 | ngram_range=(2, 2) | max_features=nan"
100.0,"(2, 2)",500.0,0.1338373574203805,0.10536129082534633,0.35225176697487015,0.13468414653163252,0.10580097273334405,0.35120206988726965,"alpha=100.0 | ngram_range=(2, 2) | max_features=500.0"
